full_title,url_stub,issn,product_id,change_history
Critical Care Clinics,critical-care-clinics,7490704,13050,
Critical Care Nursing Clinics of North America,critical-care-nursing-clinics-of-north-america,8995885,13159,
Critical Perspectives on Accounting,critical-perspectives-on-accounting,10452354,12681,
Critical Reviews in Oncology/Hematology,critical-reviews-in-oncology-hematology,10408428,8011,
The Crop Journal,the-crop-journal,22145141,18043,
Crop Protection,crop-protection,2612194,3018,
Cryobiology,cryobiology,112240,12023,
Cryogenics,cryogenics,112275,3019,
Current Applied Physics,current-applied-physics,15671739,5572,
Current Biology,current-biology,9609822,2216,
Current Medicine Research and Practice,current-medicine-research-and-practice,23520817,17731,
Current Opinion in Behavioral Sciences,current-opinion-in-behavioral-sciences,23521546,18058,
Current Opinion in Biomedical Engineering,current-opinion-in-biomedical-engineering,24684511,18894,
Current Opinion in Biotechnology,current-opinion-in-biotechnology,9581669,2219,
Current Opinion in Cell Biology,current-opinion-in-cell-biology,9550674,2220,
Current Opinion in Chemical Biology,current-opinion-in-chemical-biology,13675931,2221,
Current Opinion in Chemical Engineering,current-opinion-in-chemical-engineering,22113398,12954,
Current Opinion in Colloid & Interface Science,current-opinion-in-colloid-and-interface-science,13590294,2228,
Current Opinion in Electrochemistry,current-opinion-in-electrochemistry,24519103,18358,
Current Opinion in Endocrine and Metabolic Research,current-opinion-in-endocrine-and-metabolic-research,24519650,18341,
Current Opinion in Environmental Science & Health,current-opinion-in-environmental-science-and-health,24685844,18370,
Current Opinion in Environmental Sustainability,current-opinion-in-environmental-sustainability,18773435,8672,
Current Opinion in Food Science,current-opinion-in-food-science,22147993,17049,
Current Opinion in Genetics & Development,current-opinion-in-genetics-and-development,0959437X,2222,
Current Opinion in Green and Sustainable Chemistry,current-opinion-in-green-and-sustainable-chemistry,24522236,18302,
Current Opinion in Immunology,current-opinion-in-immunology,9527915,2223,
Current Opinion in Insect Science,current-opinion-in-insect-science,22145745,13467,
Current Opinion in Microbiology,current-opinion-in-microbiology,13695274,2224,
Current Opinion in Neurobiology,current-opinion-in-neurobiology,9594388,2225,
Current Opinion in Pharmacology,current-opinion-in-pharmacology,14714892,2277,
Current Opinion in Physiology,current-opinion-in-physiology,24688673,18380,
Current Opinion in Plant Biology,current-opinion-in-plant-biology,13695266,2226,
Current Opinion in Psychology,current-opinion-in-psychology,2352250X,18066,
Current Opinion in Solid State and Materials Science,current-opinion-in-solid-state-and-materials-science,13590286,2229,
Current Opinion in Structural Biology,current-opinion-in-structural-biology,0959440X,2227,
Current Opinion in Systems Biology,current-opinion-in-systems-biology,24523100,18300,
Current Opinion in Toxicology,current-opinion-in-toxicology,24682020,18337,
Current Opinion in Virology,current-opinion-in-virology,18796257,8728,
Current Plant Biology,current-plant-biology,22146628,18047,
Current Problems in Cancer,current-problems-in-cancer,1470272,13305,
Current Problems in Cardiology,current-problems-in-cardiology,1462806,13235,
Current Problems in Diagnostic Radiology,current-problems-in-diagnostic-radiology,3630188,13077,
Current Problems in Pediatric and Adolescent Health Care,current-problems-in-pediatric-and-adolescent-health-care,15385442,13250,Formerly known as Current Problems in Pediatrics
Current Problems in Surgery,current-problems-in-surgery,113840,13086,
Current Research in Biotechnology,current-research-in-biotechnology,25902628,30103,
Current Research in Food Science,current-research-in-food-science,26659271,30134,
Current Research in Structural Biology,current-research-in-structural-biology,2665928X,30138,
Current Research in Translational Medicine ,current-research-in-translational-medicine,24523186,9094,Formerly known as Pathologie Biologie
Current Therapeutic Research,current-therapeutic-research,0011393X,7568,
Currents in Pharmacy Teaching and Learning,currents-in-pharmacy-teaching-and-learning,18771297,13445,
Cytokine,cytokine,10434666,12674,
Cytokine & Growth Factor Reviews,cytokine-and-growth-factor-reviews,13596101,868,Formerly known as Progress in Growth Factor Research
Cytokine: X,cytokine-x,25901532,18943,
Cytotherapy,cytotherapy,14653249,14134,
Data in Brief,data-in-brief,23523409,18754,
Data & Knowledge Engineering,data-and-knowledge-engineering,0169023X,5265,
Decision Support Systems,decision-support-systems,1679236,5366,
Deep Sea Research Part I: Oceanographic Research Papers,deep-sea-research-part-i-oceanographic-research-papers,9670637,489,Formerly part of Deep Sea Research Part A. Oceanographic Research Papers
Deep Sea Research Part II: Topical Studies in Oceanography,deep-sea-research-part-ii-topical-studies-in-oceanography,9670645,116,Formerly part of Deep Sea Research Part A. Oceanographic Research Papers
Defence Technology,defence-technology,22149147,17039,
Dendrochronologia,dendrochronologia,11257865,10004,
Dental Abstracts,dental-abstracts,118486,13022,
Dental Clinics of North America,dental-clinics-of-north-america,118532,13004,
Dental Materials,dental-materials,1095641,2214,
Dermatologic Clinics,dermatologic-clinics,7338635,13296,
Desalination,desalination,119164,5152,
Design Studies,design-studies,0142694X,3021,
Development Engineering,development-engineering,23527285,18137,
Developmental Biology,developmental-biology,121606,12025,
Developmental Cell,developmental-cell,15345807,7594,
Developmental Cognitive Neuroscience,developmental-cognitive-neuroscience,18789293,5648,
Developmental & Comparative Immunology,developmental-and-comparative-immunology,0145305X,275,
Developmental Review,developmental-review,2732297,12026,
Diabetes & Metabolic Syndrome: Clinical Research and Reviews,diabetes-and-metabolic-syndrome-clinical-research-and-reviews,18714021,4250,
Diabetes & Metabolism,diabetes-and-metabolism,12623636,15535,
Diabetes Research and Clinical Practice,diabetes-research-and-clinical-practice,1688227,8012,
Diagnostic Histopathology,diagnostic-histopathology,17562317,12714,Formerly known as Current Diagnostic Pathology
Diagnostic and Interventional Imaging,diagnostic-and-interventional-imaging,22115684,15892,
Diagnostic Microbiology and Infectious Disease,diagnostic-microbiology-and-infectious-disease,7328893,7639,
Diamond and Related Materials,diamond-and-related-materials,9259635,6006,
Differential Geometry and its Applications,differential-geometry-and-its-applications,9262245,5266,
Differentiation,differentiation,3014681,8664,
Digestive and Liver Disease,digestive-and-liver-disease,15908658,12918,
Digestive and Liver Disease Supplements,digestive-and-liver-disease-supplements,15945804,12604,
Digital Applications in Archaeology and Cultural Heritage,digital-applications-in-archaeology-and-cultural-heritage,22120548,8821,
Digital Chinese Medicine,digital-chinese-medicine,25893777,18431,
Digital Communications and Networks,digital-communications-and-networks,23528648,18142,
Digital Investigation,digital-investigation,17422876,4064,
Digital Signal Processing,digital-signal-processing,10512004,12027,
Disability and Health Journal,disability-and-health-journal,19366574,13428,
"Discourse, Context & Media",discourse-context-and-media,22116958,12970,
Discrete Applied Mathematics,discrete-applied-mathematics,0166218X,5267,
Discrete Mathematics,discrete-mathematics,0012365X,5268,
Discrete Optimization,discrete-optimization,15725286,5497,
Disease-a-Month,disease-a-month,115029,13237,
Displays,displays,1419382,5270,
DNA Repair,dna-repair,15687864,5466,Formerly known as Mutation Research/DNA Repair
Domestic Animal Endocrinology,domestic-animal-endocrinology,7397240,7637,
Douleurs : Évaluation – Diagnostic – Traitement,douleurs,16245687,15538,
"Droit, Déontologie & Soin",droit-deontologie-and-soin,16296583,15838,
Drug and Alcohol Dependence,drug-and-alcohol-dependence,3768716,8013,
Drug Discovery Today,drug-discovery-today,13596446,2168,"Incorporating Drug Discovery Today: TARGETS, Drug Discovery Today: BIOSILICO and Pharmaceutical Science & Technology Today"
Drug Discovery Today: Disease Models,drug-discovery-today-disease-models,17406757,2293,
Drug Discovery Today: Technologies,drug-discovery-today-technologies,17406749,2294,
Drug Metabolism and Pharmacokinetics,drug-metabolism-and-pharmacokinetics,13474367,18127,
Drug Resistance Updates,drug-resistance-updates,13687646,12758,
Dyes and Pigments,dyes-and-pigments,1437208,2020,
Dynamics of Atmospheres and Oceans,dynamics-of-atmospheres-and-oceans,3770265,5327,
Early Childhood Research Quarterly,early-childhood-research-quarterly,8852006,7453,
Early Human Development,early-human-development,3783782,8014,Incorporating Screening
Earth and Planetary Science Letters,earth-and-planetary-science-letters,0012821X,5328,
Earth-Science Reviews,earth-science-reviews,128252,5329,
Earth System Governance,earth-system-governance,25898116,18442,
Eating Behaviors,eating-behaviors,14710153,2270,
EBioMedicine,ebiomedicine,23523964,18079,
EClinicalMedicine,eclinicalmedicine,25895370,18435,
Ecohydrology & Hydrobiology,ecohydrology-and-hydrobiology,16423593,11010,
Ecological Complexity,ecological-complexity,1476945X,5494,
Ecological Economics,ecological-economics,9218009,5100,
Ecological Engineering,ecological-engineering,9258574,5101,
Ecological Engineering: X,ecological-engineering-x,25902903,18479,
Ecological Genetics and Genomics,ecological-genetics-and-genomics,24059854,18842,
Ecological Indicators,ecological-indicators,1470160X,2273,
Ecological Informatics,ecological-informatics,15749541,5508,
Ecological Modelling,ecological-modelling,3043800,5102,
Econometrics and Statistics,econometrics-and-statistics,24523062,18306,
EconomiA,economia,15177580,18044,
Economic Analysis and Policy,economic-analysis-and-policy,3135926,17037,
Economic Modelling,economic-modelling,2649993,3023,
Economic Systems,economic-systems,9393625,5568,
Economics of Education Review,economics-of-education-review,2727757,743,
Economics & Human Biology,economics-and-human-biology,1570677X,5475,
Economics Letters,economics-letters,1651765,6007,
Economics of Transportation,economics-of-transportation,22120122,12990,
Ecosystem Services,ecosystem-services,22120416,8796,
Ecotoxicology and Environmental Safety,ecotoxicology-and-environmental-safety,1476513,12030,
Educación Médica,educacion-medica,15751813,16373,
Education for Chemical Engineers,education-for-chemical-engineers,17497728,8630,
Educational Research Review,educational-research-review,1747938X,4233,
Egyptian Informatics Journal,egyptian-informatics-journal,11108665,8716,
The Egyptian Journal of Aquatic Research,egyptian-journal-of-aquatic-research,16874285,10142,
Egyptian Journal of Petroleum,egyptian-journal-of-petroleum,11100621,8781,
The Egyptian Journal of Remote Sensing and Space Science,the-egyptian-journal-of-remote-sensing-and-space-sciences,11109823,8717,
The Egyptian Rheumatologist,the-egyptian-rheumatologist,11101164,8733,
EJVES Short Reports,ejves-short-reports,24056553,12999,Formerly known as EJVES Extra
Electoral Studies,electoral-studies,2613794,3024,
Electric Power Systems Research,electric-power-systems-research,3787796,6008,
The Electricity Journal,the-electricity-journal,10406190,7632,
Electrochemistry Communications,electrochemistry-communications,13882481,6053,
Electrochimica Acta,electrochimica-acta,134686,205,
Electronic Commerce Research and Applications,electronic-commerce-research-and-applications,15674223,5571,
Electronic Journal of Biotechnology,electronic-journal-of-biotechnology,7173458,17072,
Electronic Notes in Discrete Mathematics,electronic-notes-in-discrete-mathematics,15710653,5485,
Electronic Notes in Theoretical Computer Science,electronic-notes-in-theoretical-computer-science,15710661,5486,
EMC - AKOS - Trattato di Medicina,emc-trattato-di-medicina-akos,16347358,9202,
EMC - Anestesia-Reanimación,emc-anestesia-reanimacion,12804703,9205,
EMC - Anestesia-Rianimazione,emc-anestesia-rianimazione,12830771,9204,
EMC - Aparato Locomotor,emc-aparato-locomotor,1286935X,9270,
EMC - Cirugía General,emc-cirugia-general,16347080,9266,
EMC - Cirugía Otorrinolaringológica y Cervicofacial,emc-cirugia-otorrinolaringologica-y-cervicofacial,16352505,9271,
EMC - Cirugía Plástica Reparadora y Estética,emc-cirugia-plastica-reparadora-y-estetica,16342143,9260,
EMC - Cosmetologia Medica e Medicina degli Inestetismi Cutanei,emc-cosmetologia-medica-e-medicina-degli-inestetismi-cutanei,17760313,9350,
EMC - Dermatología,emc-dermatologia,17612896,9210,
EMC - Ginecología-Obstetricia,emc-ginecologia-obstetricia,1283081X,9218,
EMC - Kinesiterapia - Medicina Fisica,emc-kinesiterapia-medicina-fisica,12932965,9221,
EMC - Medicina Riabilitativa,emc-medicina-riabilitativa,1283078X,9222,
EMC - Neurologia,emc-neurologia,16347072,9226,
EMC - Otorinolaringoiatria,emc-otorinolaringoiatria,1639870X,9235,
EMC - Otorrinolaringología,emc-otorrinolaringologia,16323475,9234,
EMC - Pediatría,emc-pediatria,12451789,9237,
EMC - Podología,emc-podologia,1762827X,9240,
EMC - Técnicas Quirúrgicas - Aparato Digestivo,emc-tecnicas-quirurgicas-aparato-digestivo,12829129,9259,
EMC - Técnicas Quirúrgicas - Ortopedia y Traumatología,emc-tecnicas-quirurgicas-ortopedia-y-traumatologia,2211033X,16194,
EMC - Tecniche Chirurgiche Addominale,emc-tecniche-chirurgiche-chirurgia-addominale,12830798,9200,
EMC - Tecniche Chirurgiche - Chirurgia Generale,emc-tecniche-chirurgiche-chirurgia-generale,16365577,9267,
EMC - Tecniche Chirurgiche - Chirurgia ORL e Cervico-Facciale,emc-tecniche-chirurgiche-chirurgia-orl-e-cervico-facciale,12923036,9272,
EMC - Tecniche Chirurgiche - Chirurgia Ortopedica,emc-tecniche-chirurgiche-chirurgia-ortopedica,22110801,16193,
"EMC - Tecniche Chirurgiche - Chirurgia Plastica, Ricostruttiva ed Estetica",emc-tecniche-chirurgiche-chirurgia-plastica-ricostruttiva-ed-estetica,17696704,9341,
EMC - Tecniche Chirurgiche Torace,emc-tecniche-chirurgiche-chirurgia-torace,12883336,9269,
EMC - Tecniche Chirurgiche Vascolare,emc-tecniche-chirurgiche-chirurgia-vascolare,12830801,9277,
EMC - Tratado de Medicina,emc-tratado-de-medicina,16365410,9228,
EMC - Urgenze,emc-urgenze,12869341,9275,
EMC - Urología,emc-urologia,17613310,9273,
Emergency Medicine Clinics of North America,emergency-medicine-clinics-of-north-america,7338627,13211,
Emerging Contaminants,emerging-contaminants,24056650,18170,
Emerging Markets Review,emerging-markets-review,15660141,5556,
"Emotion, Space and Society",emotion-space-and-society,17554586,4294,
L’Encéphale,lencephale,137006,15539,
Endeavour,endeavour,1609327,574,
"Endocrinología, Diabetes y Nutrición",endocrinologia-diabetes-y-nutricion,25300164,15719,Formerly known as Endocrinología y Nutrición
Endocrinology and Metabolism Clinics of North America,endocrinology-and-metabolism-clinics-of-north-america,8898529,13212,
Energy,energy,3605442,483,"Incorporating Exergy, An International Journal"
Energy and Buildings,energy-and-buildings,3787788,6009,
Energy and Built Environment,energy-and-built-environment,26661233,30190,
Energy Conversion and Management,energy-conversion-and-management,1968904,269,Formerly known as Energy Conversion
Energy Conversion and Management: X,energy-conversion-and-management-x,25901745,18472,
Energy Economics,energy-economics,1409883,3025,Incorporating Journal of Energy Finance & Development
Energy Policy,energy-policy,3014215,3026,
Energy Procedia,energy-procedia,18766102,5615,
Energy Reports,energy-reports,23524847,18082,
Energy Research & Social Science,energy-research-and-social-science,22146296,12630,
Energy Storage Materials,energy-storage-materials,24058297,18197,
Energy Strategy Reviews,energy-strategy-reviews,2211467X,12967,
Energy for Sustainable Development,energy-for-sustainable-development,9730826,7817,
EnergyChem,energychem,25897780,18443,
eNeurologicalSci,eneurologicalsci,24056502,13000,
Enfermedades Infecciosas y Microbiología Clínica,enfermedades-infecciosas-y-microbiologia-clinica,0213005X,15722,
Enfermería Clínica,enfermeria-clinica,11308621,15709,
Enfermería Intensiva,enfermeria-intensiva,11302399,15714,
Engineering,engineering,20958099,18313,
"Engineering in Agriculture, Environment and Food",engineering-in-agriculture-environment-and-food,18818366,17061,
Engineering Analysis with Boundary Elements,engineering-analysis-with-boundary-elements,9557997,2021,Formerly known as Engineering Analysis
Engineering Applications of Artificial Intelligence,engineering-applications-of-artificial-intelligence,9521976,975,
Engineering Failure Analysis,engineering-failure-analysis,13506307,139,
Engineering Fracture Mechanics,engineering-fracture-mechanics,137944,322,
Engineering Geology,engineering-geology,137952,5330,Incorporating Mining Science and Technology
"Engineering Science and Technology, an International Journal",engineering-science-and-technology-an-international-journal,22150986,18052,
Engineering Structures,engineering-structures,1410296,3027,
English for Specific Purposes,english-for-specific-purposes,8894906,682,Formerly known as The ESP Journal
Entertainment Computing,entertainment-computing,18759521,8654,
Environment International,environment-international,1604120,326,
Environmental Chemistry and Ecotoxicology,environmental-chemistry-and-ecotoxicology,25901826,30089,
Environmental Development,environmental-development,22114645,8774,
Environmental and Experimental Botany,environmental-and-experimental-botany,988472,267,Formerly known as Radiation Botany
Environmental Impact Assessment Review,environmental-impact-assessment-review,1959255,7643,
Environmental Innovation and Societal Transitions,environmental-innovation-and-societal-transitions,22104224,8720,
Environmental Modelling & Software,environmental-modelling-and-software,13648152,2023,Formerly known as Environmental Software
"Environmental Nanotechnology, Monitoring & Management",environmental-nanotechnology-monitoring-and-management,22151532,17047,
Environmental Pollution,environmental-pollution,2697491,2022,"Incorporating Environmental Pollution Series A, Ecological and Biological and Environmental Pollution Series B, Chemical and Physical"
Environmental Research,environmental-research,139351,12035,
Environmental Science & Policy,environmental-science-and-policy,14629011,1031,
Environmental and Sustainability Indicators,environmental-and-sustainability-indicators,26659727,30149,
Environmental Technology & Innovation,environmental-technology-and-innovation,23521864,18059,
Environmental Toxicology and Pharmacology,environmental-toxicology-and-pharmacology,13826689,5432,Formerly known as European Journal of Pharmacology: Environmental Toxicology and Pharmacology
Enzyme and Microbial Technology,enzyme-and-microbial-technology,1410229,7644,
Epidemics,epidemics,17554365,8640,
Epilepsy & Behavior,epilepsy-and-behavior,15255050,12876,
Epilepsy & Behavior Reports ,epilepsy-and-behavior-reports,25899864,14105,Formerly known as Epilepsy & Behavior Case Reports
Epilepsy Research,epilepsy-research,9201211,5029,Incorporating Journal of Epilepsy
"Estuarine, Coastal and Shelf Science",estuarine-coastal-and-shelf-science,2727714,12641,Formerly known as Estuarine and Coastal Marine Science
"Ethics, Medicine and Public Health",ethics-medicine-and-public-health,23525525,16354,
Éthique & Santé,ethique-and-sante,17654629,15541,
eTransportation,etransportation,25901168,30078,
EuPA Open Proteomics,eupa-open-proteomics,22129685,10158,
"European Annals of Otorhinolaryngology, Head and Neck Diseases",european-annals-of-otorhinolaryngology-head-and-neck-diseases,18797296,15869,
European Economic Review,european-economic-review,142921,5368,
European Journal of Agronomy,european-journal-of-agronomy,11610301,5444,
European Journal of Cancer,european-journal-of-cancer,9598049,104,Formerly known as European Journal of Cancer and Clinical Oncology
European Journal of Cancer Supplements,european-journal-of-cancer-supplements,13596349,110,
European Journal of Cell Biology,european-journal-of-cell-biology,1719335,10005,
European Journal of Combinatorics,european-journal-of-combinatorics,1956698,12636,
European Journal of Control,european-journal-of-control,9473580,17015,
European Journal of Integrative Medicine,european-journal-of-integrative-medicine,18763820,10062,
European Journal of Internal Medicine,european-journal-of-internal-medicine,9536205,5551,
European Journal of Mechanics - A/Solids,european-journal-of-mechanics-a-solids,9977538,9030,
European Journal of Mechanics - B/Fluids,european-journal-of-mechanics-b-fluids,9977546,9031,
European Journal of Medical Genetics,european-journal-of-medical-genetics,17697212,9081,Formerly known as Annales de Génétique
European Journal of Medicinal Chemistry,european-journal-of-medicinal-chemistry,2235234,9032,
European Journal of Obstetrics & Gynecology and Reproductive Biology,european-journal-of-obstetrics-and-gynecology-and-reproductive-biology,3012115,8018,Formerly known as European Journal of Obstetrics & Gynecology
European Journal of Obstetrics & Gynecology and Reproductive Biology: X,european-journal-of-obstetrics-and-gynecology-and-reproductive-biology-x,25901613,18475,
European Journal of Oncology Nursing,european-journal-of-oncology-nursing,14623889,12746,Formerly known as Journal of Cancer Nursing
European Journal of Operational Research,european-journal-of-operational-research,3772217,5369,
European Journal of Paediatric Neurology,european-journal-of-paediatric-neurology,10903798,12707,
European Journal of Pharmaceutical Sciences,european-journal-of-pharmaceutical-sciences,9280987,5030,Incorporating Pharmaceutica Acta Helvetiae
European Journal of Pharmaceutics and Biopharmaceutics,european-journal-of-pharmaceutics-and-biopharmaceutics,9396411,5446,
European Journal of Pharmacology,european-journal-of-pharmacology,142999,5031,Incorporating European Journal of Pharmacology: Molecular Pharmacology
European Journal of Political Economy,european-journal-of-political-economy,1762680,5370,
European Journal of Protistology,european-journal-of-protistology,9324739,10028,
The European Journal of Psychiatry,the-european-journal-of-psychiatry,2136163,16440,
European Journal of Radiology,european-journal-of-radiology,0720048X,8019,
European Journal of Radiology Open,european-journal-of-radiology-open,23520477,17737,
European Journal of Soil Biology,european-journal-of-soil-biology,11645563,9033,
European Journal of Surgical Oncology,european-journal-of-surgical-oncology,7487983,12656,
European Journal of Trauma & Dissociation,european-journal-of-trauma-and-dissociation,24687499,16442,
European Journal of Vascular and Endovascular Surgery,european-journal-of-vascular-and-endovascular-surgery,10785884,12672,Formerly known as European Journal of Vascular Surgery
European Management Journal,european-management-journal,2632373,115,
European Neuropsychopharmacology,european-neuropsychopharmacology,0924977X,5033,
European Polymer Journal,european-polymer-journal,143057,294,
European Psychiatry,european-psychiatry,9249338,9034,
European Research on Management and Business Economics,european-research-on-management-and-business-economics,24448834,15976,Formerly  known as Investigaciones Europeas de Dirección y Economía de la Empresa
European Urology,european-urology,3022838,5436,
European Urology Focus,european-urology-focus,24054569,18216,
European Urology Oncology,european-urology-oncology,25889311,18434,
European Urology Supplements,european-urology-supplements,15699056,5469,Incorporating EAU-EBU Update Series
Evaluation and Program Planning,evaluation-and-program-planning,1497189,593,
Evolution and Human Behavior,evolution-and-human-behavior,10905138,7645,Formerly known as Ethology and Sociobiology
L'Évolution Psychiatrique,levolution-psychiatrique,143855,9035,
Experimental Cell Research,experimental-cell-research,144827,12028,
Experimental Eye Research,experimental-eye-research,144835,12605,
Experimental Gerontology,experimental-gerontology,5315565,7530,
Experimental Hematology,experimental-hematology,0301472X,7655,
Experimental and Molecular Pathology,experimental-and-molecular-pathology,144800,12031,
Experimental Neurology,experimental-neurology,144886,12032,Incorporating Neurodegeneration
Experimental Parasitology,experimental-parasitology,144894,12034,
Experimental Thermal and Fluid Science,experimental-thermal-and-fluid-science,8941777,7646,
Expert Systems with Applications,expert-systems-with-applications,9574174,939,
Expert Systems with Applications: X,expert-systems-with-applications-x,25901885,18477,
Explorations in Economic History,explorations-in-economic-history,144983,12029,
EXPLORE,explore,15508307,13364,
Expositiones Mathematicae,expositiones-mathematicae,7230869,10031,
The Extractive Industries and Society,the-extractive-industries-and-society,2214790X,17043,
Extreme Mechanics Letters,extreme-mechanics-letters,23524316,18071,
Facial Plastic Surgery Clinics of North America,facial-plastic-surgery-clinics-of-north-america,10647406,13060,
Fertility and Sterility,fertility-and-sterility,150282,7647,
Field Crops Research,field-crops-research,3784290,5104,
Field Mycology,field-mycology,14681641,4236,
Filtration Industry Analyst,filtration-industry-analyst,13656937,2207,
Filtration + Separation,filtration-separation,151882,2127,
Finance Research Letters,finance-research-letters,15446123,13350,
Finite Elements in Analysis and Design,finite-elements-in-analysis-and-design,0168874X,5272,
Finite Fields and Their Applications,finite-fields-and-their-applications,10715797,12037,
Fire Safety Journal,fire-safety-journal,3797112,2024,
Fish & Shellfish Immunology,fish-and-shellfish-immunology,10504648,12683,
Fisheries Research,fisheries-research,1657836,5105,
Fisioterapia,fisioterapia,2115638,15713,
Fitoterapia,fitoterapia,0367326X,5549,
FlatChem,flatchem,24522627,18317,
Flora,flora,3672530,10032,"Formerly known as Flora oder Allgemeine botanische Zeitung. Abt. B, Morphologie und Geobotanik;"
Flow Measurement and Instrumentation,flow-measurement-and-instrumentation,9555986,3029,
Fluid Phase Equilibria,fluid-phase-equilibria,3783812,5153,
FMC - Formación Médica Continuada en Atención Primaria,fmc-formacion-medica-continuada-en-atencion-primaria,11342072,15723,
Focus on Catalysts,focus-on-catalysts,13514180,4013,
Focus on Pigments,focus-on-pigments,9696210,4011,
Focus on Powder Coatings,focus-on-powder-coatings,13645439,4015,
Focus on Surfactants,focus-on-surfactants,13514210,4009,
Food and Bioproducts Processing,food-and-bioproducts-processing,9603085,8633,
Food Bioscience,food-bioscience,22124292,12988,
Food and Chemical Toxicology,food-and-chemical-toxicology,2786915,237,Formerly known as Food and Cosmetics Toxicology
Food Chemistry,food-chemistry,3088146,2025,
Food Chemistry: X,food-chemistry-x,25901575,18468,
Food Control,food-control,9567135,3030,
Food Hydrocolloids,food-hydrocolloids,0268005X,1029,
Food Microbiology,food-microbiology,7400020,12652,
Food Packaging and Shelf Life,food-packaging-and-shelf-life,22142894,18031,
Food Policy,food-policy,3069192,3031,
Food Quality and Preference,food-quality-and-preference,9503293,2026,
Food Research International,food-research-international,9639969,2027,Formerly known as Canadian Institute of Food Science and Technology Journal
Food Science and Human Wellness,food-science-and-human-wellness,22134530,10151,
Food Structure,food-structure,22133291,12994,
Food and Waterborne Parasitology,food-and-waterborne-parasitology,24056766,18843,
Food Webs,food-webs,23522496,18749,
The Foot,the-foot,9582592,12743,
Foot and Ankle Clinics,foot-and-ankle-clinics,10837515,13059,
Foot and Ankle Surgery,foot-and-ankle-surgery,12687731,4056,
Forensic Chemistry,forensic-chemistry,24681709,18340,
Forensic Science International,forensic-science-international,3790738,8021,Formerly known as Forensic Science
Forensic Science International: Genetics,forensic-science-international-genetics,18724973,4100,
Forensic Science International: Genetics Supplement Series,forensic-science-international-genetics-supplement-series,18751768,8156,
Forensic Science International: Reports,forensic-science-international-reports,26659107,30130,
Forensic Science International Supplement Series,forensic-science-international-supplement-series,18751741,8157,
Forensic Science International: Synergy,forensic-science-international-synergy,2589871X,18441,
Forest Ecology and Management,forest-ecology-and-management,3781127,5106,
Forest Policy and Economics,forest-policy-and-economics,13899341,5553,
Free Radical Biology and Medicine,free-radical-biology-and-medicine,8915849,7531,Incorporating Advances in Free Radical Biology & Medicine and Journal of Free Radicals in Biology & Medicine
Frontiers of Architectural Research,frontiers-of-architectural-research,20952635,18005,
Frontiers in Laboratory Medicine,frontiers-in-laboratory-medicine,25423649,18381,
Frontiers in Neuroendocrinology,frontiers-in-neuroendocrinology,913022,12039,
Fuel,fuel,162361,3032,
Fuel Cells Bulletin,fuel-cells-bulletin,14642859,2233,
Fuel and Energy Abstracts,fuel-and-energy-abstracts,1406701,3033,
Fuel Processing Technology,fuel-processing-technology,3783820,5154,
Fungal Biology,fungal-biology,18786146,4234,Formerly known as Mycological Research
Fungal Biology Reviews,fungal-biology-reviews,17494613,4235,Formerly known as Mycologist
Fungal Ecology,fungal-ecology,17545048,4293,
Fungal Genetics and Biology,fungal-genetics-and-biology,10871845,12038,Formerly known as Experimental Mycology
Fusion Engineering and Design,fusion-engineering-and-design,9203796,6010,Formerly known as Nuclear Engineering and Design. Fusion
Fuss & Sprunggelenk,fu-and-sprunggelenk,16199987,10060,
Future Generation Computer Systems,future-generation-computer-systems,0167739X,5273,
Futures,futures,163287,3034,
Fuzzy Sets and Systems,fuzzy-sets-and-systems,1650114,5371,
Gaceta Sanitaria,gaceta-sanitaria,2139111,15747,
Gait & Posture,gait-and-posture,9666362,5107,
Games and Economic Behavior,games-and-economic-behavior,8998256,12040,
Gastroenterología y Hepatología,gastroenterologia-y-hepatologia,2105705,15738,
Gastroenterology,gastroenterology,165085,13216,
Gastroenterology Clinics of North America,gastroenterology-clinics-of-north-america,8898553,13214,
Gastrointestinal Endoscopy,gastrointestinal-endoscopy,165107,13078,
Gastrointestinal Endoscopy Clinics of North America,gastrointestinal-endoscopy-clinics-of-north-america,10525157,13217,
Gene,gene,3781119,5041,
Gene Expression Patterns,gene-expression-patterns,1567133X,5567,
Gene Reports,gene-reports,24520144,18860,
Gene: X,gene-x,25901583,18455,
General and Comparative Endocrinology,general-and-comparative-endocrinology,166480,12033,
General Hospital Psychiatry,general-hospital-psychiatry,1638343,7654,
Genes & Diseases,genes-and-diseases,23523042,18068,
Genomics,genomics,8887543,12043,
"Genomics, Proteomics & Bioinformatics",genomics-proteomics-and-bioinformatics,16720229,5602,
Geobios,geobios,166995,9110,
Geochemistry,geochemistry,92819,10001,
Geochimica et Cosmochimica Acta,geochimica-et-cosmochimica-acta,167037,212,
Geoderma,geoderma,167061,5333,
Geoderma Regional,geoderma-regional,23520094,17730,
Geodesy and Geodynamics,geodesy-and-geodynamics,16749847,18158,
Geoforum,geoforum,167185,344,
Geomechanics for Energy and the Environment,geomechanics-for-energy-and-the-environment,23523808,18069,
Geomorphology,geomorphology,0169555X,5334,
Geoscience Frontiers,geoscience-frontiers,16749871,8721,
Geotextiles and Geomembranes,geotextiles-and-geomembranes,2661144,2028,
Geothermics,geothermics,3756505,389,
Geriatric Nursing,geriatric-nursing,1974572,13166,
